guests,Price_Night,Value_rate,amenities_count
4.0,105.0,4.8,46.0
2.0,175.0,4.9,55.0
4.0,90.0,4.9,35.0
4.0,78.0,4.8,23.0
2.0,30.0,4.9,30.0
9.0,189.0,4.7,42.0
10.0,216.0,4.8,60.0
6.0,108.0,4.9,22.0
4.0,211.0,4.9,36.0
4.0,62.0,4.9,54.0
2.0,588.0,4.7,49.0
5.0,143.0,4.9,39.0
2.0,232.0,4.9,64.0
16.0,385.0,4.4,41.0
4.0,307.0,4.9,52.0
4.0,150.0,4.6,34.0
8.0,189.0,4.7,28.0
2.0,98.0,4.9,13.0
2.0,67.0,4.2,22.0
4.0,64.0,4.7,36.0
4.0,100.0,4.9,25.0
4.0,137.0,4.9,59.0
6.0,71.0,4.9,35.0
12.0,190.0,4.6,27.0
4.0,198.0,4.8,20.0
4.0,150.0,4.8,15.0
7.0,321.0,5.0,30.0
10.0,363.0,4.8,40.0
2.0,77.0,4.8,22.0
4.0,149.0,4.2,25.0
2.0,120.0,4.8,31.0
2.0,50.0,5.0,58.0
5.0,84.0,4.6,52.0
2.0,16.0,5.0,24.0
3.0,97.0,4.8,21.0
3.0,51.0,5.0,31.0
4.0,32.0,4.6,25.0
4.0,246.0,4.7,30.0
4.0,181.0,5.0,22.0
6.0,76.0,4.7,38.0
2.0,113.0,4.3,19.0
6.0,99.0,4.7,33.0
6.0,68.0,4.9,34.0
6.0,128.0,4.7,40.0
5.0,266.0,4.4,38.0
2.0,115.0,4.8,22.0
4.0,191.0,4.9,49.0
4.0,188.0,4.7,45.0
8.0,643.0,4.6,37.0
4.0,150.0,4.8,26.0
9.0,1132.0,4.4,40.0
8.0,694.0,4.7,26.0
4.0,166.0,4.7,29.0
6.0,165.0,4.7,49.0
6.0,98.0,4.6,48.0
4.0,108.0,4.7,20.0
2.0,101.0,4.5,41.0
10.0,275.0,4.8,75.0
5.0,194.0,4.7,49.0
6.0,252.0,4.8,28.0
2.0,107.0,5.0,71.0
2.0,79.0,4.9,46.0
4.0,188.0,4.7,20.0
2.0,89.0,4.7,40.0
4.0,120.0,4.5,26.0
4.0,74.0,4.8,40.0
4.0,149.0,4.7,33.0
8.0,533.0,4.6,24.0
4.0,231.0,4.8,64.0
2.0,102.0,4.8,31.0
6.0,350.0,4.8,36.0
9.0,286.0,4.8,26.0
6.0,132.0,5.0,61.0
2.0,114.0,4.7,30.0
4.0,250.0,4.9,70.0
12.0,750.0,4.9,73.0
5.0,216.0,4.8,53.0
6.0,150.0,4.5,47.0
8.0,211.0,4.3,56.0
4.0,68.0,4.8,31.0
4.0,67.0,4.9,44.0
6.0,398.0,4.7,50.0
4.0,87.0,4.9,31.0
4.0,203.0,4.7,22.0
6.0,353.0,4.7,32.0
3.0,79.0,4.9,37.0
6.0,190.0,4.7,52.0
3.0,171.0,4.5,27.0
4.0,188.0,4.7,64.0
8.0,329.0,4.6,44.0
4.0,121.0,4.7,61.0
6.0,120.0,4.7,15.0
2.0,49.0,4.8,40.0
4.0,75.0,4.7,31.0
2.0,114.0,4.8,52.0
4.0,80.0,4.9,26.0
8.0,141.0,4.9,43.0
2.0,225.0,4.8,59.0
2.0,76.0,5.0,20.0
4.0,111.0,4.3,39.0
2.0,250.0,4.6,21.0
4.0,108.0,4.7,48.0
4.0,98.0,4.9,22.0
5.0,140.0,4.4,33.0
10.0,956.0,5.0,62.0
4.0,171.0,4.7,45.0
5.0,146.0,4.9,23.0
2.0,127.0,4.8,39.0
4.0,126.0,4.8,58.0
4.0,98.0,5.0,49.0
8.0,185.0,4.6,51.0
2.0,66.0,4.8,12.0
4.0,76.0,4.9,41.0
1.0,78.0,4.9,36.0
6.0,249.0,4.4,43.0
2.0,100.0,4.9,60.0
4.0,100.0,3.7,20.0
2.0,107.0,4.9,37.0
4.0,113.0,4.7,39.0
4.0,221.0,4.8,51.0
10.0,489.0,4.6,37.0
8.0,326.0,4.8,45.0
10.0,382.0,4.7,62.0
8.0,299.0,4.6,44.0
5.0,162.0,4.5,31.0
4.0,273.0,4.4,30.0
4.0,84.0,4.7,37.0
9.0,215.0,4.7,41.0
2.0,87.0,4.7,59.0
4.0,65.0,4.9,19.0
2.0,175.0,4.8,58.0
4.0,122.0,4.5,15.0
6.0,482.0,4.5,47.0
4.0,152.0,4.2,26.0
4.0,98.0,4.6,45.0
8.0,320.0,4.3,52.0
8.0,233.0,4.2,37.0
